;question_ID;question;full_question_ID;list_answer_options;list_answer_no_refusal;len_answer_options;odd_answer_options;list_answer_no_middle;list_answer_options_reversed;_merge;question_typo;question_letter_swap;question_synonym;question_paraphrased
0;Q1;Important in life: Family For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family;Q1;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Family For each of the following aspects, indicaxe how important it is in your life. Would wou sam it is very important, rather important, not very important or not important at all? Family;Important in li:ef Family Fro each of the following aspects, indicate how important it si in your lif.e Wdulo you say it is very important, rahter impornatt, not very important or not iopmrtant at all? Flmiay; Crucial in life: Family For each of the following aspects, indicate how significant it is in your life. Would you say it is very important, rather important, not very important or not at all important? Family   ;"How important is family to you?  Please rate its significance in your life on a scale of ""very important"" to ""not important at all"".  "
1;Q2;Important in life: Friends For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends;Q2;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Friends For each of the following wspects, indicate how important it is in your life. Would you say it is very important, rather rmportant, not very important or not importanv at all? Friends;Important ni life: drienFs For each fo hte following aspects, indicate how important ti is in your life. Would you say it is veyr important, rather important, nto very ipmortant or not improtant at all? Friends; Significant in life: Companions For each of the following aspects, indicate how essential it is in your life. Would you say it is very significant, rather essential, not very important or not important at all? Companions   ;How important are friends in your life? Please indicate if they are very important, rather important, not very important, or not important at all.  
2;Q3;Important in life: Leisure time For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time;Q3;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Leisure time For each of the following aspects, indicate how important it is in your life. Would ynu say it es very impostant, rather important, not very important or not important at all? Leisure time;Important in life: Leisure tmie For each of the following aspects, indicate how tmporiant it si in oyur life. Would you say it is evry important, ratreh impo,tantr nto vrey important or not important at all? Leisure time; Significant in life: Free time For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, rather important, not very essential or not important at all? Free time   ;How important is leisure time in your life? Please rate its importance as very important, rather important, not very important, or not important at all.  
3;Q4;Important in life: Politics For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics;Q4;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important sn life: Politics For each of the following aspects, indicate how importknt it is in your life. Would you say it is very important, rdther important, not very important or not important at all? Politics;Impontart ni ilfe: Politics For caeh of hte following aspects, indicate how important it is ni oyur life. Would you say it is very important, rather important, not vyre important or not impotrant at all? Politics; Significant in life: Politics For each of the following facets, indicate how essential it is in your life. Would you say it is very crucial, somewhat important, not very essential or not important at all? Politics   ;How significant is politics in your life? Please rate its importance: very important, rather important, not very important, or not important at all.  
4;Q5;Important in life: Work For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work;Q5;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Work For each of the following aspects, indicate how important it is in your life. Wduld you say it is very important, rather important, not very important or not important ht alln Work;Important in life: Work For each of the folnowilg aspects, iidncate how important ti is ni oyur lief. louWd you say it is very important, rather important, not very important or not important ta lla? Work; Significant in life: Labor For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, somewhat important, not very crucial or not important at all? Labor   ;How important is work in your life? Please indicate if it is very important, rather important, not very important, or not important at all.  
5;Q6;Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion;Q6;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Religion For each os the following aspects, inwicate how important it is in your life. Would you say it is very important, rather important, not very impornant or not important at all? Religion;Important in life: Religion Fro eahc of the loflowing aspects, indicate how important it is ni your life. Wuold you say ti si very important, rather important, ont very important or not iaportmnt at all? Religion; Significant in life: Faith For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, fairly important, not very crucial or not important at all? Faith   ;How important is religion in your life? Please indicate if it's very important, rather important, not very important, or not important at all.  
6;Q7;Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Good manners;Q7;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Whnch, if any, do you consider to be especiawly important? Please choose ui to five. Good manners;Imtortanp clihd qualities: Good manners Here si a list fo qualities ttah children can been courage to learn at home. Which, if a,yn do you consider to eb especially important? Please choose up to five. Good manners; Essential child qualities: Good manners Here is a list of attributes that children can been bravery to learn at home. Which, if any, do you consider to be especially crucial? Please choose up to five. Good manners   ;Developing good manners is crucial for children. This list highlights qualities that children can learn at home.  Please select up to five qualities that you consider particularly important for children to develop.  
7;Q8;Important child qualities: Independence Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Independence;Q8;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important mhild qualities: Independence Here is a gist of qualities that children can been courpge to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Independence;Important ihcld qualities: Innependedce Here is a lits of qualities that children can been coaruge to nearl at home. hhicW, if any, do you consider to be especially rmpoitant? Please choose up to five. Indepdneence;Important child qualities: Self-reliance Here is a list of qualities that children can been bravery to learn at home. Which, if any, do you consider to be especially significant? Please choose up to five. Self-reliance  ;Developing independence is a key quality children can cultivate at home.  This list highlights several qualities, and we'd like you to select up to five that you consider most important.  Independence is listed as one of these crucial qualities.  
8;Q9;Important child qualities: Hard work Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Hard work;Q9;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Hard work Here is a list of qualities that children can blen courage to learn at home. Which, if any, do you consider to be especially important? Plejse choose up to five. Hard woyk;Important chlid qualities: Hard work eerH is a list of qualities that children can been coeragu ot leanr at home. Which, fi any, do you considre to be espeliacly imaortpnt? Please choose up to five. Hard work; Essential child characteristics: Diligence Here is a list of qualities that children can be taught courage to learn at home. Which, if any, do you consider to be especially significant? Please select up to five. Diligence   ;Parents often seek to instill important qualities in their children.  Which of the following do you find particularly crucial for children to learn at home: hard work and courage? Please select up to five qualities from the list.  
9;Q10;Important child qualities: Feeling of responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Feeling of responsibility;Q10;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Feeling of responsibility Here is a list of quaxities that children can been courage jo learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Feeling of responsibility;Important child qualit:esi Feeling fo responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, od you consider ot eb ecpesially important? Please choose pu to five. Feileng of responsibility; Significant child qualities: Sensation of responsibility Here is a list of qualities that children can been bravery to learn at home. Which, if any, do you consider to be especially vital? Please choose up to five. Sensation of responsibility   ;Developing a sense of responsibility is a crucial quality for children to cultivate. This list highlights key attributes that can be nurtured within a home environment.  From this list, identify up to five qualities you deem most important for a child's growth.  
10;Q11;Important child qualities: Imagination Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Imagination;Q11;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Imagination Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to ba especially importajt? Please choose up to five. Imagination;Important child qualities: Imagination Here is a list of qualities that children can been courage to nearl ta home. Wh,chi fi any, do you consider to eb espycialle important? eleasP choeso up to five. Imagination;Important child qualities: Creativity Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially crucial? Please choose up to five. Imagination  ;Developing a child's imagination is crucial. This list highlights qualities that children can learn at home, including courage.  Which of these qualities do you believe are most important? Please select up to five.  
